Time/Second,Task_No,Time Stamp,OperationMode,isCollision,isCompliance,isReadyToMove,ToolPosition_x,ToolPosition_y,ToolPosition_z,ToolPosition_A,ToolPosition_b,ToolPosition_c,ToolForce_x,ToolForce_y,ToolForce_z,ToolTorque_x,ToolTorque_y,ToolTorque_z,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,Tool_Velocity,Tool_Acceleration
0,1,1573819846,AUT,FALSE,FALSE,TRUE,471.9021587,-399.9778674,169.8912077,-179.9944704,-0.020172905,179.993637,-0.576785888,-0.412623335,4.16902513,-0.060005546,0.7548756,-0.041492587,-63.17771073,52.08769226,37.93765869,-78.18410454,-33.64431701,61.12408104,-19.76190834,0.5,1
0.100282907,1,1573819846,AUT,FALSE,FALSE,TRUE,471.9021587,-399.9778674,169.8912077,-179.9944704,-0.020172905,179.993637,-0.576785888,-0.412623335,4.16902513,-0.060005546,0.7548756,-0.041492587,-63.17771073,52.08769226,37.93765869,-78.18410454,-33.64431701,61.12408104,-19.76190834,0.5,1
0.201004982,1,1573819846,AUT,FALSE,TRUE,TRUE,470.1474991,-398.9761507,166.6598789,-179.9332371,-0.27785968,179.854199,-1.827236796,-2.141207736,8.40161051,-0.75123913,1.343432172,-0.214902139,-63.16870537,52.19287948,37.81269264,-78.40525932,-33.66156555,61.08454399,-19.76418114,1,1
0.301521063,1,1573819846,AUT,FALSE,TRUE,TRUE,470.6145887,-399.6821029,156.8568996,-179.8831907,-0.113144177,179.9192301,-0.838508735,-1.839236893,2.964913559,-0.877452779,0.394387844,-0.529008272,-63.05668603,52.99731903,37.49293899,-78.55974769,-34.15003967,60.00924683,-19.57352028,1,1
0.401983023,1,1573819846,AUT,FALSE,TRUE,TRUE,470.6145887,-399.6821029,156.8568996,-179.8831907,-0.113144177,179.9192301,-0.838508735,-1.839236893,2.964913559,-0.877452779,0.394387844,-0.529008272,-63.05668603,52.99731903,37.49293899,-78.55974769,-34.15003967,60.00924683,-19.57352028,1,1
0.502447844,1,1573819846,AUT,FALSE,TRUE,TRUE,470.6340848,-400.6339581,148.4011772,-179.837945,-0.163279079,179.9134773,3.28905678,0.081131343,1.03063815,-0.60743533,-0.016176824,-0.776091315,-63.02250824,53.89032554,37.42375602,-78.48233184,-34.78999877,59.45272408,-19.35688363,1,1
0.602885962,1,1573819847,AUT,FALSE,TRUE,TRUE,470.6340848,-400.6339581,148.4011772,-179.837945,-0.163279079,179.9134773,3.28905678,0.081131343,1.03063815,-0.60743533,-0.016176824,-0.776091315,-63.02250824,53.89032554,37.42375602,-78.48233184,-34.78999877,59.45272408,-19.35688363,1,1
0.703361034,1,1573819847,AUT,FALSE,TRUE,TRUE,470.106137,-402.072642,144.3770155,-179.8498487,-0.051397704,179.9057648,0.36535391,1.410389572,-1.074910539,-0.076021677,0.166081957,-0.595505135,-63.17241326,54.31872368,37.39735107,-78.48660278,-35.07952148,59.02588806,-19.35896759,1,1
0.803910017,1,1573819847,AUT,FALSE,TRUE,TRUE,470.106137,-402.072642,144.3770155,-179.8498487,-0.051397704,179.9057648,0.36535391,1.410389572,-1.074910539,-0.076021677,0.166081957,-0.595505135,-63.13909378,54.17328873,37.49976081,-78.47692108,-35.05372009,59.19488182,-19.28157234,1,1
0.904400826,1,1573819847,AUT,FALSE,TRUE,TRUE,470.74554,-401.3510474,146.4197039,-179.8503026,-0.050757843,179.9328673,0.201522296,0.508592617,-0.342302678,-0.092743603,0.1086261,-0.625865074,-63.13909378,54.17328873,37.49976081,-78.47692108,-35.05372009,59.19488182,-19.28157234,1,1
1.004868984,1,1573819847,AUT,FALSE,TRUE,TRUE,470.74554,-401.3510474,146.4197039,-179.8503026,-0.050757843,179.9328673,0.201522296,0.508592617,-0.342302678,-0.092743603,0.1086261,-0.625865074,-63.13909378,54.17328873,37.49976081,-78.47692108,-35.05372009,59.19488182,-19.28157234,1,1
1.105360985,1,1573819847,AUT,FALSE,TRUE,TRUE,475.2758806,-398.5958101,151.5201905,-179.9126491,0.140376999,179.9857666,-4.703182884,-0.445151412,1.870617429,0.062007812,0.335395683,-0.349049348,-62.90809937,53.89823227,37.70093078,-78.29925156,-34.88759033,59.58575478,-18.94370499,1,1
1.205847979,1,1573819847,AUT,FALSE,TRUE,TRUE,484.5940143,-395.3105845,154.5722518,-179.9617005,0.287560355,-179.9469179,-8.816752209,-1.930071753,3.336065522,0.212875274,0.889198161,-0.017674734,-61.91739006,54.11370506,37.92812805,-77.20838814,-34.88585998,60.17532578,-18.37071304,1,1
1.306304932,1,1573819847,AUT,FALSE,TRUE,TRUE,484.5940143,-395.3105845,154.5722518,-179.9617005,0.287560355,-179.9469179,-8.816752209,-1.930071753,3.336065522,0.212875274,0.889198161,-0.017674734,-61.91739006,54.11370506,37.92812805,-77.20838814,-34.88585998,60.17532578,-18.37071304,1,1
1.406829834,1,1573819847,AUT,FALSE,TRUE,TRUE,505.7842487,-394.0313385,157.50941,-179.9948917,0.417364287,-179.8836726,-8.980092482,-5.007037803,1.286093135,-0.383862813,0.607525157,0.064313798,-59.76882477,55.50909576,37.93252944,-73.77075233,-34.93050842,61.86099586,-17.89468918,1,1
1.507310867,1,1573819847,AUT,FALSE,TRUE,TRUE,525.4796766,-395.4675451,159.6777695,-179.9901823,0.413058269,-179.9047134,-5.974042865,-3.820805473,2.414220465,-0.610426713,0.218758846,0.004367589,-57.67541771,57.30592346,37.92348633,-69.58994636,-35.01309265,63.86787872,-17.91107254,1,1
1.607781887,1,1573819848,AUT,FALSE,TRUE,TRUE,525.4796766,-395.4675451,159.6777695,-179.9901823,0.413058269,-179.9047134,-5.974042865,-3.820805473,2.414220465,-0.610426713,0.218758846,0.004367589,-57.67541771,57.30592346,37.92348633,-69.58994636,-35.01309265,63.86787872,-17.91107254,1,1
1.708304882,1,1573819848,AUT,FALSE,TRUE,TRUE,545.8774343,-397.0127028,160.1716353,-179.9648417,0.407080727,-179.9579037,-4.78976686,-0.761520995,1.359368876,-0.246086509,0.070032931,0.051795877,-55.47920609,59.36547203,37.82548484,-65.08106804,-35.11233764,65.91440506,-18.09934388,1,1
1.809069872,1,1573819848,AUT,FALSE,TRUE,TRUE,566.1714346,-397.4971419,159.9773147,-179.9707973,0.348526518,-179.993887,-1.13202118,-1.021594717,1.820835329,-0.435696177,-0.442727935,-0.011034709,-53.15445786,61.55053939,37.71385689,-60.35686454,-35.26220214,67.99737167,-18.27983208,1,1
1.909625053,1,1573819848,AUT,FALSE,TRUE,TRUE,584.1024128,-397.7870244,159.605721,-179.9678545,0.204564061,179.9892422,4.95443657,-0.22206989,-0.624312796,-0.479076685,-1.150277284,-0.102635097,-50.96079369,63.62141075,37.54983444,-55.81390457,-35.38377685,70.03894386,-18.59948273,1,1
2.010334969,1,1573819848,AUT,FALSE,TRUE,TRUE,584.1024128,-397.7870244,159.605721,-179.9678545,0.204564061,179.9892422,4.95443657,-0.22206989,-0.624312796,-0.479076685,-1.150277284,-0.102635097,-50.96079369,63.62141075,37.54983444,-55.81390457,-35.38377685,70.03894386,-18.59948273,1,1
2.110960007,1,1573819848,AUT,FALSE,TRUE,TRUE,599.0676552,-401.1227856,158.6971923,-179.9434839,-0.001365497,-179.9671102,7.184231126,2.15644431,-1.864299154,0.279926563,-0.993366033,-0.260992315,-48.96302605,65.73124923,37.19210586,-51.09799576,-35.42428344,72.10640259,-19.37387123,1,1
2.211426973,1,1573819848,AUT,FALSE,TRUE,TRUE,604.9777894,-404.4741513,157.8251882,-179.8935387,-0.104892116,179.9461915,8.747738514,3.455293409,0.757746304,0.238918067,-1.211725572,-0.482976748,-48.1565712,66.89072914,37.07715454,-48.60654029,-35.41751586,73.19343109,-20.05352669,1,1
2.311897039,1,1573819848,AUT,FALSE,TRUE,TRUE,606.8991157,-406.0770494,156.876813,-179.8450254,-0.179911327,179.8439447,8.925330982,6.511643588,-0.446459841,0.660823613,-1.308305026,-0.624588855,-47.87767639,67.44874534,37.06954994,-47.52917632,-35.41841674,73.68003272,-20.41832428,1,1
2.412358046,1,1573819848,AUT,FALSE,TRUE,TRUE,606.8991157,-406.0770494,156.876813,-179.8450254,-0.179911327,179.8439447,8.925330982,6.511643588,-0.446459841,0.660823613,-1.308305026,-0.624588855,-47.87767639,67.44874534,37.06954994,-47.52917632,-35.41841674,73.68003272,-20.41832428,1,1
2.512825012,1,1573819848,AUT,FALSE,TRUE,TRUE,606.9788585,-404.3877647,155.7637616,-179.8068224,-0.231426295,179.7729971,2.966501832,3.392088722,-0.375543958,-0.243140567,0.138433059,-0.882448634,-47.83171577,67.47174453,37.08426132,-47.71083183,-35.41773559,73.60870399,-20.29750214,1,1
2.613385916,1,1573819849,AUT,FALSE,TRUE,TRUE,607.3942654,-400.1749436,155.9596894,-179.7563647,-0.241221592,179.7080361,0.244636951,3.729494575,-1.153616273,-0.230595174,0.678759063,-1.056308013,-47.75358925,67.20091781,37.12315292,-48.32970199,-35.36333679,73.38524208,-19.91560707,1,1
2.713875055,1,1573819849,AUT,FALSE,TRUE,TRUE,608.1214136,-392.1671637,156.5326615,-179.737677,-0.312209772,179.6611531,2.784313035,5.057554998,0.422705349,-0.136891527,0.454267707,-1.225622668,-47.54680939,66.65308799,37.16241531,-49.47352981,-35.30206054,73.02603378,-19.08609467,1,1
2.814347982,1,1573819849,AUT,FALSE,TRUE,TRUE,608.1214136,-392.1671637,156.5326615,-179.737677,-0.312209772,179.6611531,2.784313035,5.057554998,0.422705349,-0.136891527,0.454267707,-1.225622668,-47.54680939,66.65308799,37.16241531,-49.47352981,-35.30206054,73.02603378,-19.08609467,1,1
