Time/Second,Task_No,Time Stamp,OperationMode,isCollision,isCompliance,isReadyToMove,ToolPosition_x,ToolPosition_y,ToolPosition_z,ToolPosition_A,ToolPosition_b,ToolPosition_c,ToolForce_x,ToolForce_y,ToolForce_z,ToolTorque_x,ToolTorque_y,ToolTorque_z,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,Tool_Velocity,Tool_Acceleration
0,1,1572446442,AUT,FALSE,FALSE,TRUE,472.5355838,-399.7769012,170.4733924,-179.9642238,0.050341074,-179.9782307,-28.01872019,-0.11510686,6.491111885,-0.036725148,2.451262623,0.342762247,-69.71809501,57.33499603,51.06037788,-78.15631599,-45.80542968,65.92604713,-13.2977417,0.5,1
0.100279808,1,1572446442,AUT,FALSE,FALSE,TRUE,472.5355838,-399.7769012,170.4733924,-179.9642238,0.050341074,-179.9782307,-28.01872019,-0.11510686,6.491111885,-0.036725148,2.451262623,0.342762247,-69.71809501,57.33499603,51.06037788,-78.15631599,-45.80542968,65.92604713,-13.2977417,0.5,1
0.200955868,1,1572446442,AUT,FALSE,TRUE,TRUE,482.4498673,-396.1125572,169.7117285,-179.9762441,0.701854597,179.9553431,-24.55899005,-4.952232517,5.586987957,-0.909642203,1.442219964,0.643432681,-68.94552612,57.77863769,51.18262138,-77.46280746,-45.85346191,65.57311821,-12.80978051,1,1
0.301651001,1,1572446442,AUT,FALSE,TRUE,TRUE,505.4771773,-388.6553388,165.8457913,179.9797274,0.781993176,-179.975864,-17.57823106,-1.929885011,3.06853344,-0.198840811,1.271957131,0.443858987,-66.11983566,59.49574928,51.19804001,-74.55598297,-46.59762634,66.58278923,-11.54268265,1,1
0.402216911,1,1572446442,AUT,FALSE,TRUE,TRUE,535.0931256,-382.0926382,161.4431329,-179.9622699,0.79112602,-179.9652622,-9.697469793,-3.64677996,4.649624463,-1.061263719,0.121622891,0.147851161,-62.33946419,61.90532569,51.00865288,-69.89085846,-47.20578002,68.15394401,-10.83564377,1,1
0.502767801,1,1572446443,AUT,FALSE,TRUE,TRUE,535.0931256,-382.0926382,161.4431329,-179.9622699,0.79112602,-179.9652622,-9.697469793,-3.64677996,4.649624463,-1.061263719,0.121622891,0.147851161,-62.33946419,61.90532569,51.00865288,-69.89085846,-47.20578002,68.15394401,-10.83564377,1,1
0.603302956,1,1572446443,AUT,FALSE,TRUE,TRUE,565.6311896,-376.9309377,159.7144232,-179.8488179,0.733864689,179.9533661,-7.102969159,2.732565806,-2.029304131,0.203343706,0.149779854,-0.341529086,-58.34331436,64.44374428,50.82089996,-64.13767891,-47.52283447,70.33485374,-10.94024735,1,1
0.703833818,1,1572446443,AUT,FALSE,TRUE,TRUE,593.3635421,-369.5832047,164.4299516,-179.702631,0.494142416,179.8485448,4.908439993,4.563416689,-4.883257241,-0.104252918,-1.797030056,-1.081518832,-54.44298591,66.458218,50.88305854,-58.27420692,-47.61101074,73.16879425,-11.24254647,1,1
0.804349899,1,1572446443,AUT,FALSE,TRUE,TRUE,613.2924866,-358.4563863,174.0248008,-179.5313331,0.005528616,179.7512991,15.52544618,11.90370675,-6.084031916,1.477801578,-1.95462115,-1.936474137,-51.2381813,67.41412124,51.05787163,-53.99467163,-47.5244989,75.95133591,-11.23966599,1,1
0.904890776,1,1572446443,AUT,FALSE,TRUE,TRUE,613.2924866,-358.4563863,174.0248008,-179.5313331,0.005528616,179.7512991,15.52544618,11.90370675,-6.084031916,1.477801578,-1.95462115,-1.936474137,-51.2381813,67.41412124,51.05787163,-53.99467163,-47.5244989,75.95133591,-11.23966599,1,1
1.005429983,1,1572446443,AUT,FALSE,TRUE,TRUE,625.1823392,-337.6636133,190.6012589,-179.5269597,-0.44666797,179.6690638,20.59829192,7.8187286,-3.717560642,0.349780157,-2.048791174,-2.224368629,-49.03323554,66.86702957,51.25533714,-52.81007423,-46.86420959,77.98889122,-9.81514435,1,1
1.105904818,1,1572446443,AUT,FALSE,TRUE,TRUE,625.1823392,-337.6636133,190.6012589,-179.5269597,-0.44666797,179.6690638,20.59829192,7.8187286,-3.717560642,0.349780157,-2.048791174,-2.224368629,-49.03323554,66.86702957,51.25533714,-52.81007423,-46.86420959,77.98889122,-9.81514435,1,1
1.206429005,1,1572446443,AUT,FALSE,TRUE,TRUE,622.3173488,-320.0273378,199.0885533,-179.5461287,-0.493276837,179.6144739,11.72525045,9.480614965,-2.441301486,0.710746828,-0.183113152,-1.830223573,-48.85813064,64.68745193,51.43020515,-55.67882423,-46.16267761,77.57627563,-7.830158619,1,1
1.307006836,1,1572446443,AUT,FALSE,TRUE,TRUE,617.4666296,-294.08375,202.6700469,-179.6712628,-0.226561754,179.5585466,-1.145912401,7.857667736,-1.668793963,0.541524216,0.873231335,-1.307356762,-49.15278396,62.54702339,51.88347358,-60.44226608,-45.67053405,75.83942985,-4.537734606,1,1
1.40752697,1,1572446443,AUT,FALSE,TRUE,TRUE,611.6801762,-258.4471339,204.2876209,-179.7710404,-0.127630481,179.526572,-2.354540285,7.958672832,-1.447104527,0.703881968,0.761059416,-0.764783371,-49.01341553,60.40415726,52.75788574,-65.81407241,-45.59298706,74.00944061,-0.153228381,1,1
1.508075953,1,1572446444,AUT,FALSE,TRUE,TRUE,604.8876373,-219.5526757,204.6359185,-179.9040743,-0.052548537,179.5748608,-3.56929814,4.622452473,0.821971204,0.703881968,0.761059416,-0.764783371,-48.42279396,58.37085571,53.62074852,-71.03273277,-45.59486572,72.12410774,4.5788166,1,1
1.608631849,1,1572446444,AUT,FALSE,TRUE,TRUE,604.8876373,-219.5526757,204.6359185,-179.9040743,-0.052548537,179.5748608,-3.56929814,4.622452473,0.821971204,0.282558756,0.82531314,-0.141921699,-48.42279396,58.37085571,53.62074852,-71.03273277,-45.59486572,72.12410774,4.5788166,1,1
1.709110975,1,1572446444,AUT,FALSE,TRUE,TRUE,598.0343322,-183.7339511,202.8705351,-179.9741072,0.064036927,179.7007494,-5.860879442,1.88067216,0.499182336,0.019799489,0.682313233,0.201623493,-47.38297577,56.58705024,54.08573799,-75.59799156,-45.56928405,70.17087249,9.026634975,1,1
1.809778929,1,1572446444,AUT,FALSE,TRUE,TRUE,593.6294616,-153.9239414,200.3884084,-179.9748727,0.164286297,179.740616,-9.03727619,1.385902847,0.360189642,-0.212048009,0.946277492,0.243453658,-45.9940567,55.3855236,54.15936699,-78.64704437,-45.41816162,68.64305191,12.43714485,1,1
1.91059494,1,1572446444,AUT,FALSE,TRUE,TRUE,593.1428293,-128.8597481,197.9392719,-179.9357093,0.195363942,179.688477,-8.846023861,4.635585502,1.999252544,0.002463334,1.016554005,0.067353536,-44.31542816,54.87177543,54.15475273,-80.16711959,-45.3605603,67.77436294,15.09082718,1,1
2.011229992,1,1572446444,AUT,FALSE,TRUE,TRUE,593.1428293,-128.8597481,197.9392719,-179.9357093,0.195363942,179.688477,-8.846023861,4.635585502,1.999252544,0.002463334,1.016554005,0.067353536,-42.08220291,54.9291481,54.06679344,-80.68350448,-45.4648645,67.19335098,17.65858612,1,1
2.111881971,1,1572446444,AUT,FALSE,TRUE,TRUE,596.6906255,-103.9168245,194.660871,-179.9610172,0.299892989,179.5994763,-12.01922206,4.798424744,3.232315477,-0.361485736,1.492508661,0.223800446,-42.08220291,54.9291481,54.06679344,-80.68350448,-45.4648645,67.19335098,17.65858612,1,1
2.212433815,1,1572446444,AUT,FALSE,TRUE,TRUE,605.3378527,-80.49310722,190.5502979,179.8546978,0.44997191,179.6684117,-11.5765514,3.525725961,1.762738516,-0.291387824,1.182843937,0.7559789,-39.24269371,55.56378021,53.67270012,-79.89285621,-45.78818664,67.02038498,20.01499557,1,1
2.312922955,1,1572446444,AUT,FALSE,TRUE,TRUE,621.04247,-66.83166136,185.8838663,179.7304704,0.542592289,179.9420577,-10.85193573,-1.838562171,2.377772283,-0.445861415,1.024911938,1.354295857,-36.12199974,56.92000122,52.60503502,-77.06612892,-46.00979187,67.52029724,20.8220375,1,1
2.413446903,1,1572446444,AUT,FALSE,TRUE,TRUE,640.6479827,-60.42141434,180.2658687,179.7788722,0.497547577,179.881104,-10.85193573,-1.838562171,2.377772283,-0.445861415,1.024911938,1.354295857,-33.40108451,58.90940895,51.53183555,-72.88557358,-46.00787475,68.61347465,20.12196464,1,1
2.513979912,1,1572446445,AUT,FALSE,TRUE,TRUE,640.6479827,-60.42141434,180.2658687,179.7788722,0.497547577,179.881104,-5.967284438,2.828689448,0.991196395,-0.29753985,0.343040599,1.151050481,-33.40108451,58.90940895,51.53183555,-72.88557358,-46.00787475,68.61347465,20.12196464,1,1
2.614464998,1,1572446445,AUT,FALSE,TRUE,TRUE,660.4794917,-52.96184697,175.1918389,179.8952036,0.475791737,179.8081752,-4.336570537,3.526467753,0.392371005,-0.598181065,0.068618775,0.896881623,-30.66068229,61.34161377,50.99838066,-68.11603775,-46.35389465,69.99715118,19.39233513,1,1
2.714989901,1,1572446445,AUT,FALSE,TRUE,TRUE,678.6830635,-40.4907567,172.5739354,179.9041665,0.468637334,179.7204415,-2.804994013,5.253347321,-1.535075537,-0.207709783,-0.111135878,0.888717888,-27.88785324,63.5418045,50.99265747,-63.60719375,-46.87840942,71.61844482,19.24273567,1,1
2.81553483,1,1572446445,AUT,FALSE,TRUE,TRUE,694.2634125,-23.0244465,172.5664426,-179.9562372,0.353505605,179.6338797,-1.877825592,7.449412554,-1.182819099,0.283697761,-0.241148251,0.371542575,-24.87844391,65.29959297,51.0196598,-59.40923881,-47.13779113,73.32360878,19.24742546,1,1
2.916042805,1,1572446445,AUT,FALSE,TRUE,TRUE,694.2634125,-23.0244465,172.5664426,-179.9562372,0.353505605,179.6338797,-1.877825592,7.449412554,-1.182819099,0.283697761,-0.241148251,0.371542575,-24.87844391,65.29959297,51.0196598,-59.40923881,-47.13779113,73.32360878,19.24742546,1,1
3.016594887,1,1572446445,AUT,FALSE,TRUE,TRUE,706.3139637,0.978485543,173.9063968,-179.8869312,0.268797555,179.5900341,2.243668873,3.879426572,-1.082421367,-0.580000329,-0.595720271,-0.0944239,-21.56247139,66.67172012,51.00975494,-55.75141639,-47.26449645,74.85577926,19.95762634,1,1
3.117121935,1,1572446445,AUT,FALSE,TRUE,TRUE,713.0700485,30.34323387,175.1707612,-179.8748555,0.00963076,179.5817525,8.283316098,4.861533023,-0.244172389,-0.448537051,-1.20599946,-0.260045543,-18.23758621,67.60745315,50.99833946,-53.06850013,-47.29688964,76.16200218,21.40237999,1,1
