Time/Second,Task_No,Time Stamp,OperationMode,isCollision,isCompliance,isReadyToMove,ToolPosition_x,ToolPosition_y,ToolPosition_z,ToolPosition_A,ToolPosition_b,ToolPosition_c,ToolForce_x,ToolForce_y,ToolForce_z,ToolTorque_x,ToolTorque_y,ToolTorque_z,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,Tool_Velocity,Tool_Acceleration
0,1,1572266572,AUT,FALSE,FALSE,TRUE,471.9629364,-400.0009386,169.9756128,-179.9937146,-0.010336061,-179.9982545,-1.482221164,-0.374310908,0.788918745,-0.197825146,0.310556602,0.073157629,-77.15569496,69.47668762,71.4936058,-78.18029365,-65.53939636,77.35106621,-5.114901356,0.5,1
0.100278139,1,1572266572,AUT,FALSE,FALSE,TRUE,471.9629364,-400.0009386,169.9756128,-179.9937146,-0.010336061,-179.9982545,-1.482221164,-0.374310908,0.788918745,-0.197825146,0.310556602,0.073157629,-77.15569496,69.47668762,71.4936058,-78.18029365,-65.53939636,77.35106621,-5.114901356,0.5,1
0.203495979,1,1572266572,AUT,FALSE,TRUE,TRUE,471.9321616,-400.2594644,170.0791493,179.9744171,-0.019089947,-179.9910862,-0.499336361,-0.227204746,0.806393448,-0.05677537,0.102772919,0.198334567,-77.15555763,69.47687301,71.49362983,-78.14605408,-65.53950622,77.37382164,-5.11618195,1,1
0.30403614,1,1572266572,AUT,FALSE,TRUE,TRUE,472.5041767,-400.1442593,170.1579251,179.9927906,0.064171482,-179.9786499,-0.499336361,-0.227204746,0.806393448,-0.05677537,0.102772919,0.198334567,-77.12071037,69.47859649,71.49409675,-78.11632233,-65.53952819,77.32143402,-5.116847994,1,1
0.404601097,1,1572266572,AUT,FALSE,TRUE,TRUE,472.5041767,-400.1442593,170.1579251,179.9927906,0.064171482,-179.9786499,-4.699486239,-0.110763653,1.097025511,-0.080709436,0.484455052,0.178115354,-77.12071037,69.47859649,71.49409675,-78.11632233,-65.53952819,77.32143402,-5.116847994,1,1
0.50509119,1,1572266573,AUT,FALSE,TRUE,TRUE,478.7998944,-399.2753384,171.4312943,-179.9387807,0.502984843,-179.9092148,-14.60512341,-1.261844313,0.977216086,-0.207878181,1.10857999,0.217124423,-76.52381973,69.55903015,71.51923484,-77.48619804,-65.53946228,77.1446022,-5.113349538,1,1
0.605619192,1,1572266573,AUT,FALSE,TRUE,TRUE,494.5484249,-396.9757893,173.746171,179.9395865,0.644201062,-179.9991031,-13.60185416,-4.449311633,1.060170223,-0.368556152,0.765042716,0.286774614,-74.54291954,70.09645386,71.60209236,-75.16536026,-65.54122558,77.84594536,-5.036462406,1,1
0.706180096,1,1572266573,AUT,FALSE,TRUE,TRUE,494.5484249,-396.9757893,173.746171,179.9395865,0.644201062,-179.9991031,-13.60185416,-4.449311633,1.060170223,-0.368556152,0.765042716,0.286774614,-74.54291954,70.09645386,71.60209236,-75.16536026,-65.54122558,77.84594536,-5.036462406,1,1
0.806708097,1,1572266573,AUT,FALSE,TRUE,TRUE,533.4824357,-394.8482495,174.7641202,179.9108918,0.540427722,-179.9245913,-6.287000841,-1.789195621,1.022129873,0.058822846,0.310048714,0.462843297,-70.62918434,71.26394004,71.23851699,-67.94365539,-65.86322387,79.83869362,-5.811084369,1,1
0.907278061,1,1572266573,AUT,FALSE,TRUE,TRUE,533.4824357,-394.8482495,174.7641202,179.9108918,0.540427722,-179.9245913,-6.287000841,-1.789195621,1.022129873,0.058822846,0.310048714,0.462843297,-70.62918434,71.26394004,71.23851699,-67.94365539,-65.86322387,79.83869362,-5.811084369,1,1
1.007825136,1,1572266573,AUT,FALSE,TRUE,TRUE,559.4268211,-395.4044174,176.4342602,179.8992736,0.455589427,-179.9007011,-1.138217136,-0.621064393,-1.527455523,-0.024791442,-0.393897708,0.483856307,-64.79669723,73.19888992,70.96706886,-62.22795982,-66.15034057,81.40846138,-6.966811756,1,1
