Time/Second,Task_No,Time Stamp,OperationMode,isCollision,isCompliance,isReadyToMove,ToolPosition_x,ToolPosition_y,ToolPosition_z,ToolPosition_A,ToolPosition_b,ToolPosition_c,ToolForce_x,ToolForce_y,ToolForce_z,ToolTorque_x,ToolTorque_y,ToolTorque_z,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,Tool_Velocity,Tool_Acceleration
0,1,1571742664,AUT,FALSE,FALSE,TRUE,471.9592392,-399.9924652,169.9698544,-179.9962622,-0.011159966,-179.999389,-1.255071316,-0.943261819,5.176153965,-0.278734452,0.520813713,0.078690688,-73.68811454,62.36571464,60.469701,-78.18109703,-54.81934936,70.59631462,-9.136433031,0.5,1
0.100296021,1,1571742664,AUT,FALSE,FALSE,TRUE,471.9592392,-399.9924652,169.9698544,-179.9962622,-0.011159966,-179.999389,-1.255071316,-0.943261819,5.176153965,-0.278734452,0.520813713,0.078690688,-73.68811454,62.36571464,60.469701,-78.18109703,-54.81934936,70.59631462,-9.136433031,0.5,1
0.201272964,1,1571742664,AUT,FALSE,TRUE,TRUE,471.3508929,-399.9652745,168.1793962,179.9645132,-0.208533419,179.8484695,-0.387082504,0.022477143,3.495643961,-0.285183622,0.263116015,0.092373099,-73.67159729,62.47926864,60.37313461,-78.18046531,-54.82203002,70.60282745,-9.138094713,1,1
0.301949024,1,1571742664,AUT,FALSE,TRUE,TRUE,471.3508929,-399.9652745,168.1793962,179.9645132,-0.208533419,179.8484695,-0.387082504,0.022477143,3.495643961,-0.285183622,0.263116015,0.092373099,-73.67159729,62.47926864,60.37313461,-78.18046531,-54.82203002,70.60282745,-9.138094713,1,1
0.402519941,1,1571742664,AUT,FALSE,TRUE,TRUE,471.5536708,-401.2651526,160.7450876,-179.9600681,0.017403914,179.8881509,-0.412315004,-0.197470552,2.257807909,-0.537546789,0.035857943,-0.056639281,-73.65596237,63.14121208,60.11503486,-78.17616691,-55.31664001,69.97465667,-9.138197713,1,1
0.503047943,1,1571742664,AUT,FALSE,TRUE,TRUE,471.9285484,-401.8775708,154.1026472,-179.9248553,0.015953304,179.8900422,0.05285941,0.10931508,1.64378126,-0.533455251,-0.171795504,-0.274389278,-73.61950836,63.70925674,60.02450409,-78.12408485,-55.92500793,69.61030197,-8.983589175,1,1
0.603581905,1,1571742665,AUT,FALSE,TRUE,TRUE,471.9285484,-401.8775708,154.1026472,-179.9248553,0.015953304,179.8900422,0.05285941,0.10931508,1.64378126,-0.533455251,-0.171795504,-0.274389278,-73.61950836,63.70925674,60.02450409,-78.12408485,-55.92500793,69.61030197,-8.983589175,1,1
0.704146862,1,1571742665,AUT,FALSE,TRUE,TRUE,472.8026795,-402.123391,150.510551,-179.9246596,0.086594089,179.887137,0.383146904,0.467635376,-0.334771687,-0.443971994,-0.42621509,-0.305746274,-73.52579498,64.28740883,60.00099334,-78.03207435,-56.30387695,69.39734573,-8.863501744,1,1
0.804643869,1,1571742665,AUT,FALSE,TRUE,TRUE,474.0166968,-402.3370729,150.7795888,-179.9367262,0.18253065,179.9010784,0.941545535,0.964437847,-2.49706625,-0.218091264,-0.778941805,-0.274241291,-73.45753898,64.40679588,60.09238243,-77.86617736,-56.39331115,69.41811333,-8.843417363,1,1
0.905214071,1,1571742665,AUT,FALSE,TRUE,TRUE,474.3708883,-402.3434911,153.0805343,-179.9392697,0.07037712,179.9833396,1.38764265,-0.279521474,1.106105742,-0.225484413,-0.682774835,-0.300143929,-73.39352303,64.28503303,60.23503303,-77.73577652,-56.39122375,69.75923538,-8.821115113,1,1
